Country,Gender,Age,Education_Level,Employment_Status,Urban_Rural,Income_Level,Owns_Card,Owns_Account,Uses_Mobile_Banking
Pakistan,Female,22,None,Student,Rural,Medium,1,1,1
Pakistan,Female,54,Secondary,Student,Rural,Low,1,1,1
Pakistan,Female,63,Secondary,Employed,Urban,Low,1,1,0
Pakistan,Female,58,Primary,Self-employed,Urban,Low,0,1,0
Pakistan,Female,33,Primary,Employed,Urban,Low,1,1,1
Pakistan,Female,56,Primary,Student,Rural,Medium,1,1,1
Pakistan,Female,55,Tertiary,Self-employed,Urban,Low,0,1,1
Pakistan,Female,51,Secondary,Unemployed,Urban,High,0,1,1
Pakistan,Female,20,Primary,Self-employed,Urban,Medium,1,0,0
Pakistan,Male,66,Secondary,Student,Urban,Medium,0,1,1
Pakistan,Male,40,Secondary,Self-employed,Rural,Medium,0,0,0
Pakistan,Female,48,Primary,Employed,Rural,High,0,1,1
Pakistan,Female,59,Secondary,Unemployed,Urban,Low,0,0,0
Pakistan,Female,20,Secondary,Unemployed,Rural,High,1,1,1
Pakistan,Female,51,Tertiary,Unemployed,Urban,Medium,1,0,1
Pakistan,Female,47,Primary,Student,Urban,Medium,0,0,0
Pakistan,Female,67,Primary,Student,Rural,Medium,0,1,1
Pakistan,Female,36,Primary,Unemployed,Rural,Low,0,0,0
Pakistan,Female,35,Secondary,Self-employed,Urban,Low,0,1,0
Pakistan,Male,20,Primary,Unemployed,Urban,Medium,0,1,1
Pakistan,Female,20,Secondary,Self-employed,Rural,Low,1,0,0
Pakistan,Male,69,Secondary,Self-employed,Urban,Medium,0,0,0
Pakistan,Female,62,Secondary,Student,Rural,Low,0,1,0
Pakistan,Female,18,Secondary,Self-employed,Urban,Low,1,1,1
Pakistan,Male,44,Tertiary,Unemployed,Urban,Low,0,0,0
Pakistan,Female,25,Secondary,Student,Rural,Low,1,0,0
Pakistan,Male,44,Secondary,Employed,Rural,Medium,1,0,0
Pakistan,Female,45,None,Employed,Rural,Low,1,0,0
Pakistan,Female,38,Tertiary,Student,Rural,High,0,1,1
Pakistan,Male,69,Primary,Unemployed,Rural,Medium,0,0,0
Pakistan,Female,23,Primary,Employed,Rural,Low,0,1,0
Pakistan,Male,69,None,Employed,Rural,Medium,0,1,1
Pakistan,Female,17,Secondary,Self-employed,Urban,High,1,1,1
Pakistan,Male,65,Primary,Self-employed,Urban,Medium,1,1,1
Pakistan,Male,45,Primary,Unemployed,Urban,Low,1,1,1
Pakistan,Female,54,None,Student,Rural,High,1,0,0
Pakistan,Female,51,Primary,Unemployed,Rural,Medium,1,1,1
Pakistan,Male,50,Secondary,Student,Rural,Low,0,1,0
Pakistan,Female,38,Secondary,Employed,Urban,Low,0,0,0
Pakistan,Female,45,Primary,Self-employed,Rural,Medium,1,1,1
Pakistan,Female,20,Secondary,Unemployed,Rural,Low,0,1,0
Pakistan,Male,16,Secondary,Unemployed,Urban,Medium,0,1,1
Pakistan,Male,34,None,Student,Rural,Low,0,0,0
Pakistan,Male,42,Primary,Student,Urban,High,1,1,1
Pakistan,Male,25,Tertiary,Unemployed,Urban,Medium,0,1,0
Pakistan,Male,18,Secondary,Student,Rural,Low,1,1,0
Pakistan,Male,29,Primary,Unemployed,Rural,Low,1,1,1
Pakistan,Male,20,Secondary,Unemployed,Rural,Medium,0,1,0
Pakistan,Male,68,Primary,Unemployed,Urban,Medium,0,1,1
Pakistan,Male,63,Secondary,Employed,Urban,Medium,0,1,0
Pakistan,Female,44,Primary,Student,Urban,Low,1,0,0
Pakistan,Male,52,Primary,Self-employed,Rural,Low,1,1,1
Pakistan,Female,65,Primary,Self-employed,Rural,Low,1,1,0
Pakistan,Female,16,Tertiary,Student,Rural,Medium,0,1,1
Pakistan,Female,29,Secondary,Unemployed,Rural,Low,0,1,0
Pakistan,Male,25,Primary,Self-employed,Urban,Low,0,0,0
Pakistan,Male,22,Primary,Self-employed,Urban,Medium,1,1,1
Pakistan,Male,40,Secondary,Student,Urban,High,0,1,1
Pakistan,Male,65,Primary,Self-employed,Urban,Low,0,0,0
Pakistan,Female,59,Primary,Unemployed,Rural,Low,0,1,1
Pakistan,Male,58,Tertiary,Student,Rural,Medium,0,1,0
Pakistan,Male,19,Primary,Unemployed,Rural,Medium,0,1,1
Pakistan,Male,20,Secondary,Self-employed,Urban,Low,0,1,1
Pakistan,Male,40,Tertiary,Self-employed,Urban,High,0,1,1
Pakistan,Male,68,Primary,Unemployed,Rural,Medium,0,1,1
Pakistan,Female,18,None,Employed,Rural,Low,1,1,1
Pakistan,Male,33,Primary,Self-employed,Urban,Low,1,0,0
Pakistan,Female,34,Tertiary,Employed,Rural,Medium,0,1,1
Pakistan,Male,47,Tertiary,Self-employed,Urban,Medium,1,1,1
Pakistan,Female,34,Secondary,Employed,Urban,Low,0,1,0
Pakistan,Male,63,Primary,Employed,Urban,Medium,0,1,1
Pakistan,Male,26,Secondary,Employed,Rural,Medium,1,1,1
Pakistan,Female,61,Tertiary,Unemployed,Rural,Low,1,0,1
Pakistan,Female,15,Secondary,Employed,Urban,Medium,1,0,1
Pakistan,Female,40,Tertiary,Employed,Rural,High,0,0,0
Pakistan,Male,28,Tertiary,Employed,Urban,Low,0,0,0
Pakistan,Female,52,Secondary,Self-employed,Urban,Low,1,1,0
Pakistan,Male,51,Secondary,Employed,Urban,Low,0,1,1
Pakistan,Male,25,Primary,Self-employed,Urban,High,0,1,1
Pakistan,Female,50,Primary,Employed,Rural,High,1,1,0
Pakistan,Female,27,Secondary,Employed,Urban,Low,1,0,0
Pakistan,Male,57,Primary,Unemployed,Urban,Medium,1,1,0
Pakistan,Male,17,Tertiary,Self-employed,Rural,Medium,0,0,0
Pakistan,Female,47,Tertiary,Employed,Urban,Medium,1,1,1
Pakistan,Female,20,Secondary,Self-employed,Urban,Low,0,0,0
Pakistan,Female,64,None,Self-employed,Rural,Low,0,0,0
Pakistan,Male,24,Primary,Student,Rural,Low,1,0,0
Pakistan,Male,19,Primary,Unemployed,Rural,Medium,0,0,0
Pakistan,Male,37,Secondary,Unemployed,Urban,Low,0,1,0
Pakistan,Male,24,Secondary,Unemployed,Rural,High,1,0,0
Pakistan,Male,58,Tertiary,Student,Rural,Low,0,0,0
Pakistan,Male,16,Secondary,Student,Urban,Low,0,0,0
Pakistan,Female,27,Tertiary,Unemployed,Urban,Medium,0,0,0
Pakistan,Male,54,Tertiary,Student,Urban,Medium,0,0,0
Pakistan,Male,16,Primary,Student,Urban,Low,0,0,0
Pakistan,Male,34,Tertiary,Student,Urban,Low,1,1,1
Pakistan,Female,15,Primary,Unemployed,Rural,High,1,0,0
Pakistan,Male,51,Primary,Unemployed,Rural,Low,0,1,1
Pakistan,Male,23,Secondary,Unemployed,Rural,Low,1,1,1
Pakistan,Female,31,Primary,Student,Urban,Medium,0,1,0
Pakistan,Male,23,Secondary,Unemployed,Urban,Low,0,1,0
Pakistan,Male,25,Secondary,Student,Urban,Low,1,1,0
Pakistan,Male,29,Secondary,Employed,Rural,Low,0,1,1
Pakistan,Male,38,Primary,Student,Rural,Low,1,1,0
Pakistan,Male,52,Secondary,Self-employed,Urban,Low,0,1,1
Pakistan,Female,69,Secondary,Unemployed,Rural,Low,1,1,0
Pakistan,Female,49,Secondary,Unemployed,Urban,Low,0,0,0
Pakistan,Female,44,Secondary,Self-employed,Rural,Low,0,0,0
Pakistan,Male,45,None,Student,Rural,Medium,0,0,0
Pakistan,Male,63,Secondary,Employed,Rural,Low,1,0,0
Pakistan,Male,19,Primary,Self-employed,Urban,Low,0,0,0
Pakistan,Female,58,Secondary,Self-employed,Rural,High,1,1,1
Pakistan,Male,64,Secondary,Student,Rural,Medium,0,0,0
Pakistan,Male,28,Secondary,Unemployed,Urban,Low,0,0,0
Pakistan,Female,67,Secondary,Student,Rural,High,0,1,0
Pakistan,Male,25,Tertiary,Self-employed,Urban,Low,1,1,1
Pakistan,Female,23,Tertiary,Self-employed,Urban,Low,1,0,0
Pakistan,Female,48,Tertiary,Unemployed,Urban,Medium,0,1,0
Pakistan,Female,26,Tertiary,Unemployed,Urban,Medium,1,0,0
Pakistan,Male,49,Primary,Unemployed,Urban,Low,0,1,1
Pakistan,Male,49,Primary,Student,Rural,Low,1,1,1
Pakistan,Male,15,Secondary,Unemployed,Urban,Medium,1,1,1
Pakistan,Male,54,Primary,Self-employed,Urban,Low,0,1,0
Pakistan,Male,36,Secondary,Self-employed,Urban,High,0,1,0
Pakistan,Male,43,Primary,Employed,Urban,Low,1,0,0
Pakistan,Male,22,Secondary,Student,Rural,High,1,0,0
Pakistan,Female,25,Secondary,Employed,Urban,Medium,0,0,0
Pakistan,Male,55,Secondary,Self-employed,Rural,Medium,0,1,0
Pakistan,Female,51,Secondary,Employed,Urban,Medium,0,0,0
Pakistan,Male,28,Tertiary,Self-employed,Rural,Medium,0,1,0
Pakistan,Male,44,Secondary,Employed,Urban,Low,1,1,1
Pakistan,Male,49,Tertiary,Unemployed,Urban,Low,1,1,1
Pakistan,Female,35,None,Employed,Rural,Low,0,1,0
Pakistan,Female,51,Tertiary,Unemployed,Urban,High,0,1,1
Pakistan,Female,19,Secondary,Unemployed,Rural,Medium,0,1,1
Pakistan,Female,33,Primary,Student,Urban,Low,0,0,0
Pakistan,Male,28,Primary,Unemployed,Rural,Low,0,0,0
Pakistan,Female,40,Secondary,Unemployed,Urban,Low,0,1,1
Pakistan,Male,18,Primary,Employed,Urban,Medium,0,1,0
Pakistan,Male,39,Primary,Self-employed,Rural,Low,0,1,1
Pakistan,Female,59,Secondary,Student,Urban,Medium,0,1,0
Pakistan,Female,56,Secondary,Unemployed,Urban,High,0,0,0
Pakistan,Female,39,Secondary,Student,Urban,Low,0,1,0
Pakistan,Female,32,Tertiary,Employed,Urban,Low,0,0,0
Pakistan,Female,54,Secondary,Unemployed,Urban,Low,0,0,0
Pakistan,Female,22,Secondary,Employed,Urban,Low,0,1,0
Pakistan,Female,53,None,Student,Rural,Low,0,0,0
Pakistan,Female,54,Secondary,Employed,Rural,Low,1,1,0
Pakistan,Male,28,Primary,Student,Rural,High,1,1,1
Pakistan,Female,46,Tertiary,Employed,Urban,Low,1,1,1
Pakistan,Female,65,Tertiary,Student,Rural,Low,0,1,0
Pakistan,Male,52,Secondary,Self-employed,Urban,High,1,1,1
Pakistan,Female,47,Primary,Employed,Urban,Medium,1,1,1
Pakistan,Male,37,Tertiary,Employed,Urban,Low,0,0,0
Pakistan,Male,29,Secondary,Self-employed,Urban,Medium,0,0,0
Pakistan,Female,47,Primary,Self-employed,Rural,Low,1,0,0
Pakistan,Male,39,Primary,Employed,Urban,Medium,0,1,0
Pakistan,Male,31,Secondary,Self-employed,Rural,Medium,0,0,0
Pakistan,Male,47,Primary,Unemployed,Urban,Medium,1,0,0
Pakistan,Male,61,Tertiary,Student,Rural,Low,1,0,0
Pakistan,Female,69,Secondary,Student,Rural,Medium,0,0,0
Pakistan,Male,16,None,Student,Rural,Low,0,0,0
Pakistan,Female,28,Tertiary,Unemployed,Rural,Low,0,1,0
Pakistan,Male,67,Primary,Self-employed,Rural,Low,1,0,0
Pakistan,Male,54,Secondary,Self-employed,Rural,Low,0,1,0
Pakistan,Male,54,Primary,Employed,Urban,Low,0,0,0
Pakistan,Male,65,None,Self-employed,Rural,Medium,1,1,1
Pakistan,Female,53,Secondary,Employed,Urban,High,0,1,1
Pakistan,Female,65,Secondary,Unemployed,Rural,Low,1,1,0
Pakistan,Male,20,Secondary,Student,Urban,Low,0,0,0
Pakistan,Male,20,Secondary,Student,Rural,Low,0,1,0
Pakistan,Female,17,Secondary,Student,Rural,Low,1,1,1
Pakistan,Male,21,Primary,Self-employed,Urban,Low,0,0,0
Pakistan,Male,65,Primary,Employed,Rural,High,0,0,0
Pakistan,Male,22,Tertiary,Employed,Rural,Low,0,1,1
Pakistan,Female,56,Secondary,Unemployed,Rural,Low,1,1,0
Pakistan,Female,66,Secondary,Self-employed,Urban,Low,1,0,0
Pakistan,Female,29,Primary,Unemployed,Rural,High,1,0,0
Pakistan,Male,61,Primary,Employed,Urban,Medium,0,1,1
Pakistan,Male,43,Secondary,Employed,Rural,High,0,0,0
Pakistan,Female,47,Tertiary,Student,Rural,Medium,0,1,1
Pakistan,Female,66,Secondary,Self-employed,Urban,Low,1,0,0
Pakistan,Female,44,Tertiary,Employed,Rural,Low,0,0,0
Pakistan,Female,53,Secondary,Student,Rural,Medium,1,1,1
Pakistan,Male,41,Primary,Self-employed,Urban,Low,0,1,1
Pakistan,Female,50,Secondary,Unemployed,Rural,Medium,1,0,0
Pakistan,Male,43,Primary,Self-employed,Urban,Low,1,0,1
Pakistan,Female,52,Primary,Self-employed,Urban,Low,1,1,1
Pakistan,Male,47,Tertiary,Employed,Urban,Medium,0,0,0
Pakistan,Female,51,Secondary,Employed,Rural,Medium,0,0,0
Pakistan,Female,41,Secondary,Self-employed,Urban,Medium,0,1,1
Pakistan,Female,69,Primary,Employed,Urban,Low,0,0,0
Pakistan,Female,47,Primary,Employed,Rural,Medium,0,1,1
Pakistan,Male,18,Primary,Employed,Urban,Low,0,0,0
Pakistan,Female,36,Primary,Student,Rural,Low,0,1,0
Pakistan,Male,16,Secondary,Student,Rural,Low,1,1,0
Pakistan,Male,24,Primary,Self-employed,Rural,Low,1,1,1
Pakistan,Male,19,Secondary,Employed,Rural,Low,0,0,0
Pakistan,Male,24,None,Student,Urban,Low,1,0,0
Pakistan,Female,47,Primary,Self-employed,Urban,Low,0,0,0
Pakistan,Male,68,Primary,Employed,Urban,Low,0,0,0
Pakistan,Male,52,Secondary,Unemployed,Urban,Low,0,1,0
Pakistan,Male,27,Secondary,Employed,Urban,Low,1,0,0
Pakistan,Female,45,Secondary,Employed,Rural,Low,0,1,1
Pakistan,Female,61,Secondary,Student,Urban,Medium,0,0,0
Pakistan,Female,50,Secondary,Self-employed,Urban,Low,1,1,1
Pakistan,Female,59,None,Self-employed,Urban,Low,0,0,0
Pakistan,Male,38,Primary,Student,Rural,Low,1,0,0
Pakistan,Male,66,Tertiary,Employed,Rural,Medium,1,0,1
Pakistan,Female,29,Secondary,Unemployed,Urban,High,1,1,1
Pakistan,Male,43,Primary,Employed,Rural,Medium,0,1,1
Pakistan,Male,22,Tertiary,Employed,Urban,Medium,0,1,0
Pakistan,Male,19,Secondary,Unemployed,Urban,Low,0,0,0
Pakistan,Female,43,Primary,Student,Rural,Medium,0,1,0
Pakistan,Female,61,Secondary,Self-employed,Rural,Medium,0,0,0
Pakistan,Male,18,Secondary,Student,Urban,Low,0,1,0
Pakistan,Female,26,Secondary,Student,Urban,Low,1,1,1
Pakistan,Female,59,Primary,Employed,Rural,Low,1,0,0
Pakistan,Female,16,Primary,Self-employed,Urban,High,0,1,1
Pakistan,Female,41,Secondary,Self-employed,Rural,Medium,0,0,0
Pakistan,Female,45,Secondary,Student,Urban,Medium,0,0,0
Pakistan,Male,65,Tertiary,Unemployed,Rural,Low,0,1,1
Pakistan,Female,65,Secondary,Student,Urban,Low,1,1,1
Pakistan,Male,50,None,Unemployed,Urban,Low,1,1,0
Pakistan,Male,50,Secondary,Self-employed,Rural,Low,1,1,0
Pakistan,Female,40,Primary,Student,Urban,Medium,1,0,0
Pakistan,Male,57,Secondary,Employed,Urban,Medium,0,1,1
Pakistan,Male,41,Secondary,Student,Rural,Low,1,1,0
Pakistan,Male,19,Primary,Self-employed,Urban,Medium,0,1,0
Pakistan,Female,34,Secondary,Employed,Urban,Low,0,1,0
Pakistan,Female,25,Primary,Employed,Urban,High,0,1,1
Pakistan,Male,24,None,Unemployed,Rural,Low,0,0,0
Pakistan,Female,54,Primary,Employed,Rural,Low,0,0,0
Pakistan,Female,52,Primary,Employed,Rural,Low,0,0,0
Pakistan,Female,20,Tertiary,Student,Urban,Low,1,0,1
Pakistan,Female,22,Secondary,Self-employed,Urban,Low,0,1,0
Pakistan,Male,37,Primary,Unemployed,Urban,Medium,0,0,0
Pakistan,Male,61,Secondary,Student,Urban,High,0,1,1
Pakistan,Female,40,None,Employed,Rural,Medium,1,1,0
Pakistan,Female,60,Tertiary,Employed,Urban,Low,0,1,1
Pakistan,Male,57,Secondary,Unemployed,Urban,Medium,1,1,1
Pakistan,Male,26,Secondary,Self-employed,Urban,Low,1,0,0
Pakistan,Female,40,Primary,Unemployed,Rural,Low,0,1,0
Pakistan,Male,27,Secondary,Student,Urban,Medium,1,0,0
Pakistan,Female,54,Secondary,Unemployed,Urban,Medium,0,1,1
Pakistan,Female,32,Tertiary,Employed,Urban,Low,0,1,0
Pakistan,Male,39,None,Student,Urban,Low,1,0,0
Pakistan,Male,47,Primary,Employed,Urban,High,0,1,1
Pakistan,Female,61,Tertiary,Self-employed,Rural,Low,0,1,1
Pakistan,Female,54,Secondary,Employed,Urban,Low,0,1,1
Pakistan,Male,57,Primary,Employed,Urban,Medium,0,0,0
Pakistan,Female,26,Primary,Unemployed,Urban,Low,1,0,1
Pakistan,Male,58,Tertiary,Employed,Urban,Low,0,1,1
Pakistan,Female,50,None,Student,Urban,Low,1,0,0
Pakistan,Male,62,Secondary,Student,Urban,Medium,0,0,0
Pakistan,Male,18,Secondary,Self-employed,Urban,Medium,1,0,1
Pakistan,Male,19,Primary,Student,Urban,Medium,0,0,0
Pakistan,Female,51,Secondary,Unemployed,Urban,High,0,1,1
Pakistan,Female,22,None,Self-employed,Urban,Medium,1,0,0
Pakistan,Male,56,Primary,Student,Rural,Low,0,1,0
Pakistan,Female,63,Secondary,Unemployed,Rural,Low,0,1,1
Pakistan,Male,42,Tertiary,Student,Rural,Medium,0,0,0
Pakistan,Male,45,Secondary,Student,Rural,Medium,1,0,0
Pakistan,Female,23,Secondary,Employed,Urban,Medium,0,1,1
Pakistan,Female,68,Primary,Student,Rural,Medium,1,1,1
Pakistan,Male,65,None,Student,Rural,Low,0,0,0
Pakistan,Female,43,Primary,Unemployed,Urban,Low,0,1,0
Pakistan,Female,28,Primary,Unemployed,Rural,Low,1,1,0
Pakistan,Male,54,Primary,Employed,Rural,Low,1,1,1
Pakistan,Male,55,Primary,Student,Urban,Low,1,1,0
Pakistan,Female,36,Primary,Employed,Urban,Medium,1,0,1
Pakistan,Male,25,Primary,Student,Urban,Medium,0,1,1
Pakistan,Male,37,Secondary,Self-employed,Rural,Low,0,0,0
Pakistan,Female,15,Tertiary,Self-employed,Rural,Low,0,1,1
Pakistan,Male,60,Primary,Employed,Urban,Low,1,0,0
Pakistan,Male,51,Tertiary,Employed,Urban,Low,1,0,1
Pakistan,Female,35,Tertiary,Employed,Rural,Medium,0,0,0
Pakistan,Female,40,Primary,Unemployed,Urban,Medium,0,0,0
Pakistan,Male,60,Secondary,Unemployed,Rural,Medium,0,0,0
Pakistan,Male,50,Secondary,Unemployed,Urban,Medium,1,1,1
Pakistan,Female,68,Secondary,Employed,Urban,Medium,0,0,0
Pakistan,Female,37,Primary,Student,Rural,Low,0,0,0
Pakistan,Female,15,Secondary,Self-employed,Urban,Low,0,1,1
Pakistan,Female,68,Primary,Employed,Urban,Low,1,1,0
Pakistan,Male,69,Secondary,Unemployed,Urban,High,1,0,0
Pakistan,Female,65,Secondary,Unemployed,Rural,Low,1,0,0
Pakistan,Female,54,Secondary,Employed,Urban,Low,0,1,0
Pakistan,Male,29,Secondary,Employed,Urban,High,0,1,1
Pakistan,Female,35,Secondary,Unemployed,Urban,High,1,0,1
Pakistan,Male,61,Primary,Student,Urban,Medium,1,1,0
Pakistan,Female,23,Primary,Unemployed,Urban,Low,0,0,0
Pakistan,Female,67,Tertiary,Unemployed,Urban,Low,0,0,0
Pakistan,Female,23,Primary,Employed,Rural,Low,0,0,0
Pakistan,Male,24,None,Student,Rural,Low,0,1,0
Pakistan,Male,66,Primary,Unemployed,Urban,Low,1,0,0
Pakistan,Female,67,Primary,Unemployed,Rural,Low,0,0,0
Pakistan,Male,40,Tertiary,Self-employed,Rural,High,0,0,0
Pakistan,Male,55,Secondary,Employed,Urban,Low,0,1,1
Pakistan,Male,49,Tertiary,Self-employed,Rural,Medium,0,1,0
Pakistan,Male,66,Secondary,Self-employed,Rural,Medium,0,0,0
Pakistan,Male,39,Secondary,Unemployed,Rural,Low,0,1,0
Pakistan,Male,40,Primary,Employed,Rural,Medium,0,1,0
Pakistan,Female,25,Secondary,Student,Rural,Low,1,1,1
Pakistan,Female,52,Primary,Unemployed,Rural,Low,0,0,0
Pakistan,Male,16,Tertiary,Student,Rural,Medium,0,1,0
Pakistan,Female,21,Tertiary,Student,Rural,Low,1,1,1
Pakistan,Female,32,Primary,Employed,Urban,High,1,1,1
Pakistan,Female,41,Tertiary,Self-employed,Urban,Low,1,0,0
Pakistan,Female,48,Tertiary,Employed,Rural,Medium,0,1,0
Pakistan,Male,41,Secondary,Student,Rural,Low,0,1,0
India,Female,31,Primary,Unemployed,Urban,Low,0,1,0
India,Female,57,Secondary,Student,Rural,Low,0,0,0
India,Male,58,Secondary,Unemployed,Rural,Medium,0,1,1
India,Male,65,Primary,Unemployed,Urban,Medium,1,1,0
India,Female,68,None,Employed,Urban,Medium,0,1,0
India,Female,38,Secondary,Student,Urban,Low,0,0,0
India,Female,39,Primary,Self-employed,Rural,Medium,0,0,0
India,Female,21,Secondary,Student,Rural,Medium,0,0,0
India,Female,66,Tertiary,Student,Urban,Medium,1,0,0
India,Female,20,Tertiary,Self-employed,Urban,Low,0,1,0
India,Male,67,Primary,Employed,Rural,Medium,1,0,0
India,Female,38,Tertiary,Student,Urban,Medium,1,1,1
India,Female,47,None,Student,Rural,Low,0,1,0
India,Male,63,None,Unemployed,Rural,Medium,0,1,0
India,Male,43,Secondary,Student,Urban,Medium,1,1,1
